CLONE	CBSD3S	CBSD3S.ebv	CBSD3S.wt	CBSD6S	CBSD6S.ebv	CBSD6S.wt	CBSDRS	CBSDRS.ebv	CBSDRS.wt
UG14_1884	-0.361197066	-0.32532394	12.20107643	-0.6377524	-0.568158083	8.755079467	-0.585536383	-0.289946072	1.843871727
UG14_1891	0.346693799	0.306245294	11.05446786	0.920779099	0.834248567	9.561659944	-0.478605891	-0.236968106	1.843477449
UG14_1893	-0.260213722	-0.236047538	12.67678066	-0.480376071	-0.447115174	11.169949	-0.074189967	-0.044157829	2.645979777
UG14_1894	0.651148283	0.507084551	6.679234781	1.420081326	1.032209441	4.094274904	2.896707534	1.724719182	2.647964951
UG14_1896	-0.248932792	-0.209768036	8.948245689	-0.555123666	-0.47787872	7.445029744	0.161003263	0.079727443	1.843946901
UG14_1898	-0.125301863	-0.113642832	12.66331658	-0.59481785	-0.552222032	10.99683285	-0.023131044	-0.013766318	2.6454552
UG14_1903	0.101021004	0.087414686	10.03513322	-0.094138769	-0.084286363	8.981091718	-0.267728822	-0.159354775	2.646077071
UG14_1905	-0.192439564	-0.170777828	11.30968546	-0.096419224	-0.086811959	9.246452612	-0.754630412	-0.373603595	1.843208624
UG14_1919	-0.116899286	-0.104793622	11.90385217	0.210816932	0.19424438	10.51126622	-1.056812719	-0.628996193	2.645815037
UG14_1922	-0.279617341	-0.232794507	8.519494536	-0.633073628	-0.538424505	7.063106802	0.768065775	0.252634308	0.964454774
UG14_1925	-0.211765536	-0.184448944	10.34068535	-0.26006609	-0.232718107	8.955350035	-0.15408044	-0.076276491	1.842951829
UG14_1929	-0.146851521	-0.126348439	9.781778623	-0.352094042	-0.30960476	8.210886071	1.916596846	0.948490919	1.841874785
UG14_1930	-0.343410716	-0.304815577	11.32084555	-0.66148738	-0.602469415	9.839999997	-1.231317891	-0.609786711	1.844212
UG14_1932	0.041613391	0.034178902	8.079908734	-0.305378901	-0.221548394	4.071885422	0.902969025	0.446853985	1.841801176
UG14_1933	0.450031428	0.39997756	11.39507924	0.666895071	0.598102885	9.059397941	-0.151560927	-0.07504663	1.843723145
UG14_1935	0.293122421	0.266359176	12.79695043	0.049857556	0.04539885	9.827501121	0.195292248	0.064271899	0.965219248
UG14_1936	-0.249653226	-0.210549217	8.978975615	-0.630761617	-0.554039862	8.168199586	-0.328889882	-0.162886283	1.844413006
UG14_1937	0.004946943	0.004417339	11.66712448	0.271101313	0.244515853	9.332419717	-0.406432121	-0.201172609	1.842474581
UG14_1938	0.135112595	0.121550301	12.12560804	-0.05501854	-0.049632313	9.3415654	-0.018599107	-0.009208264	1.843277029
UG14_1939	0.689191458	0.595478554	9.968008993	0.265184245	0.246222031	11.00445218	0.89927525	0.535041681	2.64378246
UG14_1940	-0.055530583	-0.048544698	10.51841668	0.142124203	0.128351562	9.396476034	0.638500115	0.38010923	2.647094098
UG14_1941	0.636897822	0.530150082	8.513273372	-0.395251852	-0.325596203	6.204921899	-0.396713686	-0.23619501	2.647699482
UG14_1943	-0.169868516	-0.150908853	11.37008947	0.064032951	0.057736187	9.317509345	-0.070451604	-0.034833979	1.83889432
UG14_1944	-0.280527559	-0.240909637	9.701244295	-0.55089929	-0.490273283	8.709418167	-0.572364112	-0.340243217	2.638837353
UG14_1947	-0.140418898	-0.105799165	6.005102826	-0.264585228	-0.207197134	5.167280753	0.614170686	0.202100506	0.965036718
UG14_1948	-0.178211029	-0.138677094	6.662287542	-0.403112236	-0.316943267	5.238123244	-0.346001296	-0.113711874	0.963301642
UG14_1950	1.12665842	0.823700206	5.484178911	0.110808693	0.100978654	9.870535449	-0.76517883	-0.251823846	0.965212238
UG14_1954	1.131796216	0.954360663	8.972788561	0.232424669	0.202190367	7.806265419	-0.676137617	-0.402573564	2.647917782
